Ticket,Symbol,Type,Volume,OpenPrice,ClosePrice,OpenTime,CloseTime,Profit,Commission,Swap
109209461,XAUUSD,SELL,0.5,3985.9,3985.9,2025-10-08T04:05:17.000Z,2025-10-08T04:05:17.000Z,-216,-4.98,0
109370982,USDJPY,SELL,1,152.692,152.692,2025-10-08T22:00:00.000Z,2025-10-08T22:00:00.000Z,111.34,-2.5,0
109378833,EURUSD,BUY,1,1.16282,1.16282,2025-10-08T23:00:00.000Z,2025-10-08T23:00:00.000Z,269,-2.91,0
109394265,XAUUSD,SELL,0.5,4011.73,4011.73,2025-10-09T02:42:33.000Z,2025-10-09T02:42:33.000Z,-236.5,-5.01,0
109398505,XAUUSD,BUY,0.5,4020.74,4020.74,2025-10-09T03:18:32.000Z,2025-10-09T03:18:32.000Z,-226,-5.03,0
109404635,EURUSD,BUY,1,1.16426,1.16426,2025-10-09T04:06:02.000Z,2025-10-09T04:06:02.000Z,-140,-2.91,0
109439384,EURUSD,SELL,1,1.1615,1.1615,2025-10-09T09:50:27.000Z,2025-10-09T09:50:27.000Z,-140,-2.9,0
109459265,USDJPY,SELL,1,152.638,152.638,2025-10-09T12:04:44.000Z,2025-10-09T12:04:44.000Z,-364.92,-2.5,0
109612798,XAUUSD,BUY,0.5,3988.01,3988.01,2025-10-10T02:36:53.000Z,2025-10-10T02:36:53.000Z,-309,-4.99,0
109620365,XAUUSD,SELL,0.5,3978.02,3978.02,2025-10-10T04:18:27.000Z,2025-10-10T04:18:27.000Z,-226.5,-4.97,0
109635647,EURUSD,BUY,1,1.15764,1.15764,2025-10-10T08:19:52.000Z,2025-10-10T08:19:52.000Z,-139,-2.89,0
109811603,EURUSD,SELL,1,1.16128,1.16128,2025-10-10T23:00:00.000Z,2025-10-10T23:00:00.000Z,501,-2.9,0
109845629,XAUUSD,SELL,0.5,4039.74,4039.74,2025-10-13T02:40:28.000Z,2025-10-13T02:40:28.000Z,-223.5,-5.05,0
109855715,XAUUSD,BUY,0.5,4047.74,4047.74,2025-10-13T03:38:56.000Z,2025-10-13T03:38:56.000Z,-219,-5.06,0
109866414,EURUSD,BUY,1,1.16206,1.16206,2025-10-13T04:43:17.000Z,2025-10-13T04:43:17.000Z,-145,-2.91,0
109905263,EURUSD,SELL,1,1.15922,1.15922,2025-10-13T11:26:33.000Z,2025-10-13T11:26:33.000Z,-143,-2.9,0
110006150,USDJPY,SELL,1,152.282,152.282,2025-10-13T22:00:00.000Z,2025-10-13T22:00:00.000Z,-87.34,-2.5,0
110022252,XAUUSD,BUY,0.5,4120.87,4120.87,2025-10-14T02:33:42.000Z,2025-10-14T02:33:42.000Z,-236,-5.15,0
110050697,EURUSD,BUY,1,1.15806,1.15806,2025-10-14T06:45:25.000Z,2025-10-14T06:45:25.000Z,-140,-2.9,0
110077213,XAUUSD,SELL,0.5,4112.2,4112.2,2025-10-14T08:58:10.000Z,2025-10-14T08:58:10.000Z,-229.5,-5.14,0
110105691,EURUSD,SELL,1,1.15531,1.15531,2025-10-14T10:40:40.000Z,2025-10-14T10:40:40.000Z,-139,-2.89,0
110251547,XAUUSD,SELL,0.5,4159.19,4159.19,2025-10-15T03:00:13.000Z,2025-10-15T03:00:13.000Z,-232.5,-5.2,0
110252580,XAUUSD,BUY,0.5,4167.53,4167.53,2025-10-15T03:09:35.000Z,2025-10-15T03:09:35.000Z,-217.5,-5.21,0
110263886,EURUSD,BUY,1,1.16184,1.16184,2025-10-15T04:20:12.000Z,2025-10-15T04:20:12.000Z,-140,-2.9,0
110439751,EURUSD,SELL,1,1.16443,1.16443,2025-10-15T23:00:00.000Z,2025-10-15T23:00:00.000Z,394,-2.91,0
110458179,XAUUSD,SELL,0.5,4208.28,4208.28,2025-10-16T02:39:41.000Z,2025-10-16T02:39:41.000Z,-222.5,-5.26,0
110461128,XAUUSD,BUY,0.5,4216.68,4216.68,2025-10-16T03:15:14.000Z,2025-10-16T03:15:14.000Z,-234,-5.27,0
110467778,EURUSD,BUY,1,1.16596,1.16596,2025-10-16T03:34:05.000Z,2025-10-16T03:34:05.000Z,-143,-2.91,0
110685207,EURUSD,SELL,1,1.16888,1.16888,2025-10-16T23:00:00.000Z,2025-10-16T23:00:00.000Z,432,-2.92,0
110709119,XAUUSD,SELL,0.5,4364.83,4364.83,2025-10-17T02:33:40.000Z,2025-10-17T02:33:40.000Z,-243.5,-5.46,0
110711388,XAUUSD,BUY,0.5,4373.63,4373.63,2025-10-17T02:47:49.000Z,2025-10-17T02:47:49.000Z,-212,-5.47,0
110720514,EURUSD,BUY,1,1.17114,1.17114,2025-10-17T03:54:00.000Z,2025-10-17T03:54:00.000Z,-141,-2.93,0
110822460,EURUSD,SELL,1,1.16816,1.16816,2025-10-17T14:13:18.000Z,2025-10-17T14:13:18.000Z,-160,-2.92,0
110967369,XAUUSD,SELL,0.5,4240.98,4240.98,2025-10-20T02:49:09.000Z,2025-10-20T02:49:09.000Z,-226,-5.3,0
110977289,XAUUSD,BUY,0.5,4249.78,4249.78,2025-10-20T03:56:00.000Z,2025-10-20T03:56:00.000Z,-268,-5.31,0
